timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:52:30.984, 3, 436.16 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:31.984, 0, 439.43 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:31.984, 1, 437.00 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:31.984, 2, 431.62 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:31.984, 3, 428.73 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:32.984, 0, 444.38 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:32.984, 1, 440.01 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:32.984, 2, 436.60 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:32.984, 3, 435.24 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:33.984, 0, 441.16 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:33.984, 1, 438.35 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:33.984, 2, 433.76 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:33.984, 3, 433.11 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:34.984, 0, 442.23 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:34.984, 1, 441.73 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:34.985, 2, 436.50 W, 38, 2070 MHz, 3996 MHz, 99 %, 22 %
2026/06/07 20:52:34.985, 3, 435.07 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:35.985, 0, 442.49 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:35.985, 1, 440.34 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:35.985, 2, 435.06 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:35.985, 3, 435.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:36.985, 0, 446.48 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:36.985, 1, 444.25 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:36.985, 2, 438.32 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:36.985, 3, 436.89 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:37.985, 0, 443.64 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:37.985, 1, 439.46 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:37.985, 2, 435.51 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:37.985, 3, 435.06 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:38.985, 0, 443.14 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:38.986, 1, 440.34 W, 38, 2070 MHz, 3996 MHz, 99 %, 19 %
2026/06/07 20:52:38.986, 2, 436.44 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:38.986, 3, 435.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 20 %
2026/06/07 20:52:39.986, 0, 447.38 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:39.986, 1, 444.61 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:39.986, 2, 440.25 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:39.986, 3, 439.01 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:40.986, 0, 447.86 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:40.986, 1, 446.51 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:40.986, 2, 438.68 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:40.986, 3, 438.40 W, 38, 2070 MHz, 3996 MHz, 99 %, 23 %
2026/06/07 20:52:41.986, 0, 445.51 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:41.986, 1, 441.95 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:41.986, 2, 436.45 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:41.986, 3, 437.77 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:42.986, 0, 442.43 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
2026/06/07 20:52:42.987, 1, 439.69 W, 38, 2070 MHz, 3996 MHz, 99 %, 21 %
2026/06/07 20:52:42.987, 2, 433.77 W, 38, 2070 MHz, 3996 MHz, 99 %, 24 %
