timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:53:17.206, 2, 229.91 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:17.206, 3, 230.72 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:18.206, 0, 230.34 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:18.206, 1, 226.15 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:18.206, 2, 229.93 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:18.206, 3, 230.81 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:19.206, 0, 230.32 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:19.207, 1, 226.15 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:19.207, 2, 229.92 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:19.207, 3, 230.57 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:20.207, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:20.207, 1, 226.14 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:20.207, 2, 229.96 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:20.207, 3, 230.36 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:21.207, 0, 335.21 W, 36, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:21.207, 1, 343.18 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:21.207, 2, 302.99 W, 36, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:21.207, 3, 305.40 W, 36, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:22.207, 0, 522.27 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:22.207, 1, 514.77 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:22.207, 2, 519.11 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:22.207, 3, 528.26 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:23.207, 0, 513.54 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:23.208, 1, 504.43 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:23.208, 2, 509.25 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:23.208, 3, 515.46 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:24.208, 0, 514.53 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:24.208, 1, 504.67 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:24.208, 2, 508.07 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:24.208, 3, 516.02 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:25.208, 0, 515.64 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:25.208, 1, 506.38 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:25.208, 2, 508.61 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:25.208, 3, 516.44 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:26.208, 0, 515.98 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:26.208, 1, 507.72 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:26.208, 2, 509.75 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:26.208, 3, 516.60 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:27.208, 0, 514.97 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:27.208, 1, 506.46 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:27.209, 2, 510.07 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:27.209, 3, 517.38 W, 40, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 20:53:28.209, 0, 517.31 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:28.209, 1, 508.49 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:28.209, 2, 515.26 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:28.209, 3, 518.28 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 20:53:29.209, 0, 516.95 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
