timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:09:34.939, 1, 515.17 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:34.939, 2, 509.45 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:34.939, 3, 509.54 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:35.939, 0, 514.76 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:35.940, 1, 516.27 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:35.940, 2, 508.92 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:35.940, 3, 510.63 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:36.940, 0, 520.27 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:36.940, 1, 517.27 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:36.940, 2, 509.26 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:36.940, 3, 510.73 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:37.940, 0, 522.32 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:37.940, 1, 514.95 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:37.940, 2, 508.12 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:37.940, 3, 508.30 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:38.940, 0, 514.39 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:38.940, 1, 514.59 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:38.940, 2, 508.27 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:38.940, 3, 508.46 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:39.941, 0, 520.21 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:39.941, 1, 517.41 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:39.941, 2, 511.16 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:39.941, 3, 511.01 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:40.941, 0, 520.66 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:40.941, 1, 517.68 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:40.941, 2, 511.32 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:40.941, 3, 511.19 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:41.941, 0, 523.42 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:41.941, 1, 519.04 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:41.941, 2, 513.50 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:41.941, 3, 512.27 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:42.941, 0, 523.96 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:42.941, 1, 520.52 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:42.941, 2, 513.81 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:42.941, 3, 514.35 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:43.941, 0, 517.70 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:43.942, 1, 518.34 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:43.942, 2, 511.17 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:43.942, 3, 511.65 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:44.942, 0, 522.83 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:44.942, 1, 520.80 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:44.942, 2, 514.31 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:44.942, 3, 513.46 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:45.942, 0, 523.81 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:45.942, 1, 523.74 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:45.942, 2, 512.74 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:45.942, 3, 514.30 W, 40, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:46.942, 0, 522.22 W, 39, 2070 MHz, 3996 MHz, 100 %, 34 %
