timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:17:22.842, 2, 547.46 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:22.842, 3, 549.14 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:23.842, 0, 552.77 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:23.842, 1, 555.32 W, 39, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:23.842, 2, 550.70 W, 40, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:23.842, 3, 548.36 W, 40, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:24.842, 0, 550.80 W, 40, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:24.842, 1, 555.03 W, 39, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:24.842, 2, 548.19 W, 40, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:24.842, 3, 548.37 W, 40, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:25.842, 0, 554.41 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:25.842, 1, 557.13 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:25.842, 2, 549.91 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:25.842, 3, 551.65 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:26.842, 0, 555.34 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:26.842, 1, 558.88 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:26.842, 2, 553.55 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:26.842, 3, 553.38 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:27.842, 0, 556.20 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:27.843, 1, 560.95 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:27.843, 2, 553.48 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:27.843, 3, 552.94 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:28.843, 0, 555.35 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:28.843, 1, 558.75 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:28.843, 2, 553.95 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:28.843, 3, 553.42 W, 40, 2070 MHz, 3996 MHz, 100 %, 40 %
2026/06/07 23:17:29.843, 0, 555.27 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:29.843, 1, 561.40 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:29.843, 2, 552.68 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:29.843, 3, 551.95 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:30.843, 0, 555.97 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:30.843, 1, 557.70 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:30.843, 2, 552.43 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
